doi_pref,name,coci_open,crossref_close,crossref_visibility,tot_dois,deposits_flag
"10.18225","nn",12,3,nn,nn,nn
"10.18226","nn",23,4,nn,nn,nn
"10.18227","nn",222,-5,nn,nn,nn
"10.18229","nn",0,0,nn,nn,nn
"10.18230","nn",3,-1,nn,nn,nn
"10.18231","nn",2,3,nn,nn,nn
"10.14392","nn",23,2,nn,nn,nn
"10.14393","nn",256,52,nn,nn,nn
"10.14395","nn",1,0,nn,nn,nn
"10.14396","nn",42,0,nn,nn,nn
"10.14397","nn",140,15,nn,nn,nn
"10.14398","nn",10,2,nn,nn,nn
"10.14399","nn",4,3,nn,nn,nn
"10.14400","nn",742,17,nn,nn,nn
"10.14401","nn",29,1,nn,nn,nn
"10.14402","nn",49,15,nn,nn,nn
"10.14403","nn",154,-17,nn,nn,nn
"10.14404","nn",22,1,nn,nn,nn
"10.14405","nn",76,19,nn,nn,nn
"10.14406","[[Society for Meridian and Acupoint (ID 5533)]]",100,9,[[open]],[["133,43"]],[["true,true"]]
"10.14407","nn",117,34,nn,nn,nn
"10.14408","nn",63,0,nn,nn,nn
"10.14409","nn",83,14,nn,nn,nn
"10.1190","[[Society of Exploration Geophysicists (ID 186)]]",250952,70183,[[open]],[["53284,5993"]],[["true,true"]]
"10.1055","[[Georg Thieme Verlag KG (ID 194)]]",769130,805558,[[open]],[["754732,75243"]],[["true,true"]]
"10.1144","[[Geological Society of London (ID 1881)]]",106943,143232,[[open]],[["30431,1324"]],[["true,true"]]
"10.1145","[[Association for Computing Machinery (ACM) (ID 320)]]",2926158,407386,[[open]],[["389600,57519"]],[["true,true"]]
"10.5980","nn",1165,949,nn,nn,nn
"10.5981","nn",777,72,nn,nn,nn
"10.5982","nn",0,3,nn,nn,nn
"10.5983","nn",15,2,nn,nn,nn
"10.5984","nn",162,37,nn,nn,nn
"10.5985","nn",905,507,nn,nn,nn
"10.5986","nn",68,31,nn,nn,nn
"10.5987","nn",44,-27,nn,nn,nn
"10.5988","nn",236,83,nn,nn,nn
"10.3810","[[Informa UK Limited (ID 301)]]",14762,7467,[[limited]],[["4299998,512670"]],[["true,true"]]
"10.3811","nn",414,289,nn,nn,nn
"10.3812","nn",4,0,nn,nn,nn
"10.3813","nn",2519,1154,nn,nn,nn
"10.3814","[[Hindawi Limited (ID 98)]]",131,5,[[open]],[["175742,39060"]],[["true,true"]]
"10.3815","[[Cambridge University Press (CUP) (ID 56)]]",309,79,[[open]],[["1440042,73551"]],[["true,true"]]
"10.3816","[[Elsevier BV (ID 78)]]",22084,16467,[[closed]],[["15073575,1663799"]],[["true,true"]]
"10.3817","nn",1958,138,nn,nn,nn
"10.3818","nn",1151,191,nn,nn,nn
"10.3819","nn",381,254,nn,nn,nn
"10.3820","nn",143,13,nn,nn,nn
"10.3821","[[SAGE Publications (ID 179)]]",587,185,[[open]],[["2167219,146411"]],[["true,true"]]
"10.31640","nn",0,0,nn,nn,nn
"10.31641","nn",2,0,nn,nn,nn
"10.31642","nn",0,0,nn,nn,nn
"10.31643","nn",0,0,nn,nn,nn
"10.31644","nn",0,0,nn,nn,nn
"10.31645","nn",0,0,nn,nn,nn
"10.31647","nn",0,0,nn,nn,nn
"10.31648","nn",0,0,nn,nn,nn
"10.3165","nn",44,43,nn,nn,nn
"10.31651","nn",0,0,nn,nn,nn
"10.31652","nn",0,0,nn,nn,nn
"10.31654","nn",0,0,nn,nn,nn
"10.31655","nn",0,0,nn,nn,nn
"10.31657","nn",0,0,nn,nn,nn
"10.31659","nn",0,0,nn,nn,nn
"10.3166","nn",14383,7510,nn,nn,nn
"10.1308","nn",12934,7495,nn,nn,nn
"10.13080","[[Lithuanian Research Centre for Agriculture and Forestry (ID 5218)]]",399,99,[[open]],[["228,96"]],[["true,true"]]
"10.13081","nn",30,0,nn,nn,nn
"10.13082","nn",171,22,nn,nn,nn
"10.13083","nn",250,-3,nn,nn,nn
"10.30918","nn",10,0,nn,nn,nn
"10.30919","[[Engineered Science Publisher (ID 12370)]]",42,35,[[open]],[["0,105"]],[["false,true"]]
"10.30920","nn",0,0,nn,nn,nn
"10.30921","nn",1,0,nn,nn,nn
"10.30923","nn",0,0,nn,nn,nn
"10.30924","nn",1,0,nn,nn,nn
"10.30925","nn",0,0,nn,nn,nn
